node_id,article_node_name,evidence_inclusion,Peer_reviewed_source,evidence_type,has_data,of_quality,evidence_type_synthetic,evidence_type_fine,evidence_type_simple,in_support,evidence_type_synthetic_simple
(Moller & Alterio 1999)_EXCLUDE_NA_Expert opinion_NA_NA,(Moller & Alterio 1999),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Moore & Reid 2009)_INCLUDE_NA_Predation in support_no_no,(Moore & Reid 2009),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Moore & Walker 1991)_EXCLUDE_NA_Expert opinion_NA_NA,(Moore & Walker 1991),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Moore 2008)_INCLUDE_NA_Predation in support_no_no,(Moore 2008),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Moseby et al. 2011)_EXCLUDE_NA_No claim_NA_NA,(Moseby et al. 2011),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Moseby et al. 2011)_INCLUDE_NA_Predation in support_no_no,(Moseby et al. 2011),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Moseby et al. 2011)_INCLUDE_NA_Predation not in support_no_no,(Moseby et al. 2011),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
(Moseby et al. 2011)_INCLUDE_NA_Population not in support_yes_no,(Moseby et al. 2011),INCLUDE,"",Population not in support,yes,no,Population not in support with data,Population not in support with data,Population with data,No,Population not in support with data
(Moseby et al. 2022)_INCLUDE_NA_Predation in support_no_no,(Moseby et al. 2022),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Muzaffar et al. 2013)_EXCLUDE_NA_Expert opinion_NA_NA,(Muzaffar et al. 2013),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(NSW National Parks and Wildlife Service 2002a)_EXCLUDE_NA_Expert opinion_NA_NA,(NSW National Parks and Wildlife Service 2002a),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Nogales et al. 2004)_EXCLUDE_NA_Expert opinion_NA_NA,(Nogales et al. 2004),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(O'Connor et al. 2007)_EXCLUDE_NA_Expert opinion_NA_NA,(O'Connor et al. 2007),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(O'Donnell et al. 2010)_EXCLUDE_NA_Expert opinion_NA_NA,(O'Donnell et al. 2010),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Oedin et al. 2021) core source_claim,(Oedin et al. 2021) core source,claim,"",Core claim,"",no,Core claim,Core claim,Core claim,Not relevant,Core claim
(Office of Environment & Heritage 2012)_EXCLUDE_NA_Expert opinion_NA_NA,(Office of Environment & Heritage 2012),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Oro et al. 2004)_EXCLUDE_NA_Expert opinion_NA_NA,(Oro et al. 2004),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Ortiz-Alcaraz et al. 2016)_EXCLUDE_NA_No claim_NA_NA,(Ortiz-Alcaraz et al. 2016),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(O’Donnell et al. 2015)_EXCLUDE_NA_Expert opinion_NA_NA,(O’Donnell et al. 2015),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(O’Donnell et al. 2015)_INCLUDE_NA_Predation in support_no_no,(O’Donnell et al. 2015),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Pavey et al. 2008b)_INCLUDE_NA_Predation in support_no_no,(Pavey et al. 2008b),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Pavey et al. 2008b)_INCLUDE_NA_Population not in support_yes_no,(Pavey et al. 2008b),INCLUDE,"",Population not in support,yes,no,Population not in support with data,Population not in support with data,Population with data,No,Population not in support with data
(Penton et al. 2021)_INCLUDE_NA_Population in support_yes_yes,(Penton et al. 2021),INCLUDE,"",Population in support,yes,yes,Population in support with data of quality,Population in support with data of quality,Population with data,Yes,Population in support with data
(Pierce & Blanvillain 2004)_INCLUDE_NA_Population in support_yes_yes,(Pierce & Blanvillain 2004),INCLUDE,"",Population in support,yes,yes,Population in support with data of quality,Population in support with data of quality,Population with data,Yes,Population in support with data
(Pierce & Blanvillain 2004)_EXCLUDE_NA_No claim_NA_NA,(Pierce & Blanvillain 2004),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Pierce et al. 2003)_INCLUDE_NA_Population in support_yes_yes,(Pierce et al. 2003),INCLUDE,"",Population in support,yes,yes,Population in support with data of quality,Population in support with data of quality,Population with data,Yes,Population in support with data
(Portelli & Carlile 2019)_EXCLUDE_NA_Expert opinion_NA_NA,(Portelli & Carlile 2019),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Pratt et al. 1997)_INCLUDE_NA_Predation in support_no_no,(Pratt et al. 1997),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Priddel et al. 2008)_EXCLUDE_NA_Expert opinion_NA_NA,(Priddel et al. 2008),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Radford et al. 2018) core source_claim,(Radford et al. 2018) core source,claim,"",Core claim,"",no,Core claim,Core claim,Core claim,Not relevant,Core claim
(Ramos 1996)_EXCLUDE_NA_Expert opinion_NA_NA,(Ramos 1996),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Ratz & Murphy 1999)_EXCLUDE_NA_Expert opinion_NA_NA,(Ratz & Murphy 1999),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Ratz 2000)_EXCLUDE_NA_Expert opinion_NA_NA,(Ratz 2000),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Robertson & Colbourne 2022)_INCLUDE_NA_Predation in support_no_no,(Robertson & Colbourne 2022),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Robertson & Colbourne 2022)_EXCLUDE_NA_No claim_NA_NA,(Robertson & Colbourne 2022),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Rodríguez-Estrella et al. 1991)_INCLUDE_NA_Predation in support_no_no,(Rodríguez-Estrella et al. 1991),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Rodríguez-Estrella et al. 1991)_EXCLUDE_NA_Expert opinion_NA_NA,(Rodríguez-Estrella et al. 1991),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Sarr et al. 1998)_EXCLUDE_NA_Expert opinion_NA_NA,(Sarr et al. 1998),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Seddon et al. 2013)_EXCLUDE_NA_Expert opinion_NA_NA,(Seddon et al. 2013),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Short 2016)_EXCLUDE_NA_No claim_NA_NA,(Short 2016),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Short 2016)_EXCLUDE_NA_Expert opinion_NA_NA,(Short 2016),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Short et al. 2002)_INCLUDE_NA_Predation in support_no_no,(Short et al. 2002),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Short et al. 2019)_INCLUDE_NA_Predation in support_no_no,(Short et al. 2019),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Simons 1983)_INCLUDE_NA_Predation in support_no_no,(Simons 1983),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Simons 1984)_EXCLUDE_NA_Expert opinion_NA_NA,(Simons 1984),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Steinfurth 2007)_INCLUDE_NA_Predation in support_no_no,(Steinfurth 2007),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Taylor 2000)_EXCLUDE_NA_Expert opinion_NA_NA,(Taylor 2000),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Taylor 2000)_EXCLUDE_NA_No claim_NA_NA,(Taylor 2000),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Thibault & Cibois 2006a)_EXCLUDE_NA_Expert opinion_NA_NA,(Thibault & Cibois 2006a),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Threatened Species Scientific Committee 2008b)_EXCLUDE_NA_Expert opinion_NA_NA,(Threatened Species Scientific Committee 2008b),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Tocher 2006)_EXCLUDE_NA_Does not test claim_NA_NA,(Tocher 2006),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Does not test claim,Excluded,Not relevant,Excluded
(Tocher 2006)_EXCLUDE_NA_No claim_NA_NA,(Tocher 2006),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(USFWS 1998a)_INCLUDE_NA_Predation in support_no_no,(USFWS 1998a),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(USFWS 2004)_INCLUDE_NA_Predation in support_no_no,(USFWS 2004),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(USFWS 2013b)_EXCLUDE_NA_Expert opinion_NA_NA,(USFWS 2013b),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(USFWS 2020)_EXCLUDE_NA_Expert opinion_NA_NA,(USFWS 2020),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(VanderWerf et al. 2016)_EXCLUDE_NA_Expert opinion_NA_NA,(VanderWerf et al. 2016),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Veitch 2001)_EXCLUDE_NA_No claim_NA_NA,(Veitch 2001),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Veitch 2001)_EXCLUDE_NA_Expert opinion_NA_NA,(Veitch 2001),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Veitch et al. 2004)_EXCLUDE_NA_Expert opinion_NA_NA,(Veitch et al. 2004),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Velarde et al. 2011)_EXCLUDE_NA_Expert opinion_NA_NA,(Velarde et al. 2011),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Vincenot et al. 2015)_INCLUDE_NA_Predation in support_no_no,(Vincenot et al. 2015),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Vincenot et al. 2017)_INCLUDE_NA_Predation in support_no_no,(Vincenot et al. 2017),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Wallach & Lundgren 2025)_external review without claim,(Wallach & Lundgren 2025),external review without claim,"",External review without claim,"",no,External review without claim,External review without claim,External review without claim,Not relevant,External review without claim
(Wayne et al. 2011)_INCLUDE_NA_Population not in support_yes_no,(Wayne et al. 2011),INCLUDE,"",Population not in support,yes,no,Population not in support with data,Population not in support with data,Population with data,No,Population not in support with data
(Wayne et al. 2011)_INCLUDE_NA_Predation in support_no_no,(Wayne et al. 2011),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Wayne et al. 2011)_INCLUDE_NA_Population in support_yes_no,(Wayne et al. 2011),INCLUDE,"",Population in support,yes,no,Population in support with data,Population in support with data,Population with data,Yes,Population in support with data
(Wayne et al. 2017a)_INCLUDE_NA_Population not in support_yes_no,(Wayne et al. 2017a),INCLUDE,"",Population not in support,yes,no,Population not in support with data,Population not in support with data,Population with data,No,Population not in support with data
(Wayne et al. 2017a)_INCLUDE_NA_Population in support_yes_no,(Wayne et al. 2017a),INCLUDE,"",Population in support,yes,no,Population in support with data,Population in support with data,Population with data,Yes,Population in support with data
(Wayne et al. 2017a)_EXCLUDE_NA_Expert opinion_NA_NA,(Wayne et al. 2017a),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Welch & Leppanen 2017) core source_claim,(Welch & Leppanen 2017) core source,claim,"",Core claim,"",no,Core claim,Core claim,Core claim,Not relevant,Core claim
(Whitworth et al. 2020)_EXCLUDE_NA_Expert opinion_NA_NA,(Whitworth et al. 2020),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Wiggins 2004)_INCLUDE_NA_Population not in support_yes_no,(Wiggins 2004),INCLUDE,"",Population not in support,yes,no,Population not in support with data,Population not in support with data,Population with data,No,Population not in support with data
(Wilson & Coast 2016)_INCLUDE_NA_Predation in support_no_no,(Wilson & Coast 2016),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Woinarski et al. 2014) core source_claim,(Woinarski et al. 2014) core source,claim,"",Core claim,"",no,Core claim,Core claim,Core claim,Not relevant,Core claim
(Young et al. 2013)_EXCLUDE_NA_Expert opinion_NA_NA,(Young et al. 2013),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Zavalaga et al. 2008a)_EXCLUDE_NA_No claim_NA_NA,(Zavalaga et al. 2008a),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Zino et al. 1995)_INCLUDE_NA_Predation in support_no_no,(Zino et al. 1995),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
