original,Endnote_intext_citation
"Malachowski, C. P., B. D. Dugger, K. J. Uyehara, and M. H. Reynolds (2018). Nesting ecology of the Hawaiian Duck Anas wyvilliana on northern Kaua‘i, Hawai‘i, USA. Wildfowl 68:123–139.",(Malachowski et al. 2018)
"Malachowski, C.P., Dugger, B.D., Uyehara, K.J. and Reynolds, M.H., 2022. Avian botulism is a primary, year-round threat to adult survival in the endangered Hawaiian Duck on Kaua ‘i, Hawai ‘i, USA. Ornithological Applications, 124(2), p.duac007.",(Malachowski et al. 2022)
"Mallick, S., Pauza, M., Eason, C., Mooney, N., Gaffney, R. and Harris, S., 2016. Assessment of non-target risks from sodium fluoroacetate (1080), para-aminopropiophenone (PAPP) and sodium cyanide (NaCN) for fox-incursion response in Tasmania. Wildlife Research, 43(2), pp.140-152.",(Mallick et al. 2016)
"Malone, B.S. (1985b). Mortality during the early life history stages of the Baw Baw Frog (Philoria frosti). Pp 1-5 in 'Biology of Australasian Frogs and Reptiles' (Eds) G. Grigg, R. Shine and H. Ehmann. Surrey Beatty and Sons, Sydney.",(Malone 1985)
"Mangel J.C., Whitty, T., Medina-Vogel, G., Alfaro-Shigueto, J., Caceres, C. and Godley, B.J. 2010. Latitudinal variation in diet and patterns of human interaction in the marine otter. Marine Mammal Science 30: 95-96.",(Mangel et al. 2011)
"Mansergh I (1991). Flora and Fauna Guarantee Action Statement no. 2 – Mountain Pygmy-possum. Department of Sustainability and Environment, East Melbourne.",(Mansergh 1991)
"Mansergh I and Broome L (1994). The Mountain Pygmy-possum of the Australian Alps. New South Wales University Press, Kensington.",(Mansergh & Broome 1994)
"Mansergh, I., 1989. The Ecology and Conservation of the Mountain Pygmy Possum (Burramys Parvus)(Marsupialia: Burramyidae) in Victoria: With Comparisons to Populations in New South Wales, Australia.(in 2 Vols) (Doctoral dissertation, La Trobe University).",(Mansergh 1988)
"Marchant, S.; Higgins, P. J. 1993. Handbook of Australian, New Zealand and Antarctic birds, 2: Raptors to Lapwings. Oxford University Press, Melbourne.",(Marchant & Higgins 1993)
"Marks, C.A., Johnston, M.J., Fisher, P.M., Pontin, K. and Shaw, M.J., 2006. Differential particle size ingestion: promoting target‐specific baiting of feral cats. The Journal of Wildlife Management, 70(4), pp.1119-1124.",(Marks et al. 2006)
"Marks, J.S. and Redmond, R.L., 1994. Conservation problems and research needs for Bristle-thighed Curlews Numenius tahitiensis on their wintering grounds. Bird Conservation International, 4(4), pp.329-341.",(Marks & Redmond 1994)
"Marlow, N.J., Thomas, N.D., Williams, A.A., Macmahon, B., Lawson, J., Hitchen, Y., Angus, J. and Berry, O., 2015. Cats (Felis catus) are more abundant and are the dominant predator of woylies (Bettongia penicillata) after sustained fox (Vulpes vulpes) control. Australian Journal of Zoology, 63(1), pp.18-27.",(Marlow et al. 2015a)
"Marlow, N.J., Thomas, N.D., Williams, A.A., Macmahon, B., Lawson, J., Hitchen, Y., Angus, J. and Berry, O., 2015. Lethal 1080 baiting continues to reduce European red fox (Vulpes vulpes) abundance after more than 25 years of continuous use in south‐west Western Australia. Ecological Management & Restoration, 16(2), pp.131-141.",(Marlow et al. 2015b)
"Martin D and Temple-Smith P 2012. National recovery plan for the long-nosed potaroo Potorous tridactylus tridactylus. Department of Sustainability and Environment, Melbourne.",(Martin & Temple-Smith 2012)
"Martin, J.L., Thibault, J.C. and Bretagnolle, V. 2000. Black rats, island characteristics, and colonial nesting birds in the Mediterranean: consequences of an ancient introduction. Conservation Biology 14(5): 1452-1466.",(Martin et al. 2000)
"Martin, S., Ball, S. and Peeters, P., 2006. Reintroduction of the brush-tailed Bettong (Bettongia penicillata ogilbyi) into Lincoln National Park.Program review from September 1999 to July 2004. Department for Environment and Heritage, Government of South Australia.",(Martin et al. 2006)
"Martínez-Gómez J.E., Curry, R. L. 1996. The conservation of the Socorro Mockingbird Mimodes graysoni in 1993-1994. Bird Conservation International 6: 271-283.",(Martínez-Gómez & Curry 1996)
"Martínez-Gómez JE, Curry RL (1996) The conservation status of the Socorro Mockingbird Mimodes graysoni in 1993-1994. Bird Conservation International, 6, 271-283.",(Martínez-Gómez & Curry 1996)
"Martínez-Gómez JE, Jacobsen JK (2004) The conservation status of Townsend’s shearwater Puffinus auricularis auricularis. Biological Conservation, 116, 35-47.",(Martınez-Gomez & Jacobsen 2004)
"Martínez-Gómez, J. E., Flores-Palacios, A., Curry, R. L. 2001. Habitat requirements of the Socorro Mockingbird Mimodes graysoni. Ibis 143: 456-467.",(Martınez-Gomez et al. 2001)
"Martınez-Gomez, J.E. and Jacobsen, J.K., 2004. The conservation status of Townsend's shearwater Puffinus auricularis auricularis. Biological Conservation, 116(1), pp.35-47.",(Martınez-Gomez & Jacobsen 2004)
"Masibalavu, V.; Mucklow, C. 2008. Red-throated Lorikeet Survey January 2008 including recommendations for future survey work for this Critically Endangered species in Fiji. BirdLife International, Suva, Fiji.",(Masibalavu & Mucklow 2008)
"Massaro, M. and Blair, D., 2003. Comparison of population numbers of yellow-eyed penguins, Megadyptes antipodes, on Stewart Island and on adjacent cat-free islands. New Zealand Journal of Ecology, pp.107-113.",(Massaro & Blair 2003)
"Masseti, M., 2010. Mammals of the Macaronesian islands (the Azores, Madeira, the Canary and Cape Verde islands): redefinition of the ecological equilibrium.",(Masseti 2010)
"Matayoshi, K., 2014. 絶滅危惧種ダイトウオオコウモリ ネコが捕食 (translation: Predation by a cat on an endangered Daito flying fox) (in Japanese), Okinawa Times.",(Matayoshi 2014)
"Mathew, H. (1996). An investigation into the effect of management strategies on the home range of chuditch (Dasyurus geoffroii). B.Sc. (Hons) Thesis, University of Western Australia, Perth.",(Mathew 1996)
"Mathieson MT, Smith GC (2009) ‘National recovery plan for the buff-breasted button-quail Turnix olivii’. Report to Department of the Environment, Water, Heritage and the Arts, Canberra. Department of Environment and Resource Management, Brisbane.",(Mathieson & Smith 2009b)
"Mathieson, M.T., Smith, G.C. 2009. National recovery plan for the black-breasted button-quail Turnix melanogaster. Report to Department of the Environment, Water, Heritage and the Arts, Canberra.",(Mathieson & Smith 2009a)
"Matias, R. and Catry, P., 2008. The diet of feral cats at New Island, Falkland Islands, and impact on breeding seabirds. Polar Biology, 31, pp.609-616.",(Matias & Catry 2008)
"Mattern, T., Ellenberg, U. 2016. The Tawaki Project: Field Report 2015 – year 2, 13-September-14 October 2015. DOI: 10.13140/RG.2.1.3068.1847 .",(Mattern & Ellenberg 2016)
"Matthews, A., Ruykys, L., Ellis, B., FitzGibbon, S., Lunney, D., Crowther, M.S., Glen, A.S., Purcell, B., Moseby, K., Stott, J. and Fletcher, D., 2013. The success of GPS collar deployments on mammals in Australia. Australian Mammalogy, 35(1), pp.65-83.",(Matthews et al. 2013)
Mauritius Reptile Recovery Programme unpubl. Data,Mauritius Reptile Recovery Programme unpubl. Data
"Mayol J, Aguilar JS, Yésou P (2000) The Balearic Shearwater Puffinus mauretanicus: status and threats. In: Yésou P, Sultana J (Eds) Monitoring and Conservation of Birds, Mammals and Sea Turtles of the Mediterranean and Black Seas. Environment Protection Department, Malta, pp. 24-37",(Mayol-Serra 2000)
"Mayston, B. 2001. Penguin numbers of concern. Otago Daily Times May 18.",(Mayston 2001)
"McAlpin, S. 2001. A Recovery Plan for the Great Desert Skink (Egernia kintorei) 2001-2011. Arid Lands Environment Centre.",(McAlpin 2001)
"McChesney G.J., Tershy B.R. 1998. History and status of introduced mammals and impacts to breeding seabirds on the California channel and northwestern Baja California Islands. Colonial Waterbirds 21: 335-347.",(McChesney & Tershy 1998)
"McChesney, G.J. and Tershy, B.R., 1998. History and status of introduced mammals and impacts to breeding seabirds on the California Channel and northwestern Baja California Islands. Colonial Waterbirds, pp.335-347.",(McChesney & Tershy 1998)
"McChesney, G.J., Tershy, B.R. 1998. History and status of introduced mammals and impacts to breeding seabirds on the California channel and northwestern Baja California Islands. Colonial Waterbirds 21: 335-347.",(McChesney & Tershy 1998)
"McClellan, R. & Wood, C. 2004. Westland petrel (Procellaria westlandica) management 1987-2003. Unpublished report, Department of Conservation, Westport.",(McClellan & Wood 2004)
"McDonald, P.J., Brittingham, R., Nano, C. and Paltridge, R., 2014. A new population of the critically endangered central rock-rat (Zyzomys pedunculatus) discovered in the Northern Territory. Australian Mammalogy, 37(1), pp.97-100.",(McDonald et al. 2014)
"McDonald, P.J., Stewart, A., Schubert, A.T., Nano, C.E., Dickman, C.R. and Luck, G.W., 2016. Fire and grass cover influence occupancy patterns of rare rodents and feral cats in a mountain refuge: implications for management. Wildlife Research, 43(2), pp.121-129.",(McDonald et al. 2016)
"McEvoy, J., Sinn, D.L. and Wapstra, E., 2008. Know thy enemy: behavioural response of a native mammal (Rattus lutreolus velutinus) to predators of different coexistence histories. Austral Ecology, 33(7), pp.922-931.",(McEvoy et al. 2008)
"McFadden, K.W., Wade, S.E., Dubovi, E.J. and Gompper, M.E., 2005. A serological and fecal parasitologic survey of the critically endangered pygmy raccoon (Procyon pygmaeus). Journal of Wildlife Diseases, 41(3), pp.615-617.",(McFadden et al. 2005)
"McGregor, H., Legge, S., Jones, M.E. and Johnson, C.N. 2015. Feral cats are better killers in open habitats, revealed by animal-borne video. PLoS ONE 10: e0133915.",(McGregor et al. 2015)
"McGregor, H.W., Legge, S., Jones, M.E. and Johnson, C.N. 2014. Landscape management of fire and grazing regimes alters the fine-scale habitat utilization by feral cats. PLoS One 9: e109097.",(McGregor et al. 2014)
"McGregor, H.W., Legge, S.M., Jones, M.E. and Johnson, C.N. 2016. Extraterritorial hunting expeditions to intense fire scars by feral cats. Scientific Reports 6: 22559.",(McGregor et al. 2016)
"McHugh, D., Goldingay, R.L. and Letnic, M., 2022. Occupancy and co-occurrence patterns of endemic mammals and introduced predators across a broad geographical gradient in eastern Australia. Biodiversity and Conservation, 31(3), pp.989-1021.",(McHugh et al. 2022)
"McHugh, D., Goldingay, R.L., Link, J. and Letnic, M., 2019. Habitat and introduced predators influence the occupancy of small threatened macropods in subtropical Australia. Ecology and Evolution, 9(11), pp.6300-6317.",(McHugh et al. 2019)
"McHugh, D., Goldingay, R.L., Parkyn, J., Goodwin, A. and Letnic, M., 2020. Short‐term response of threatened small macropods and their predators to prescribed burns in subtropical Australia. Ecological Management & Restoration, 21(2), pp.97-107.",(McHugh et al. 2020)
"McKay, P.A., Hufschmid, J., Meredith, A.L., Zendejas-Heredia, P.A. and Moseby, K.E., 2022. Seroprevalence of Toxoplasma gondii in burrowing bettongs (Bettongia lesueur): a comparison of cat-free and cat-exposed populations. Australian Journal of Zoology, 69(5), pp.175-183.",(McKay et al. 2022)
"McLennan, J.A. and Potter, M.A., 1992. Distribution, population changes and management of brown kiwi in Hawke's Bay. New Zealand Journal of Ecology, pp.91-102.",(McLennan & Potter 1992)
"McLennan, J.A., Dew, L., Miles, J., Gillingham, N. and Waiwai, R., 2004. Size matters: predation risk and juvenile growth in North Island brown kiwi (Apteryx mantelli). New Zealand Journal of Ecology, pp.241-250.",(McLennan et al. 2004)
"McLennan, J.A., Potter, M.A., Robertson, H.A., Wake, G.C., Colbourne, R., Dew, L., Joyce, L., McCann, A.J., Miles, J., Miller, P.J. and Reid, J., 1996. Role of predation in the decline of kiwi, Apteryx spp., in New Zealand. New Zealand Journal of Ecology, pp.27-35.",(McLennan et al. 1996)
Medina,Medina
"Medina FM, Oliveira P, Menezes D, Teixeira S, Garc ́ıa R, Nogales M. Trophic habits of feral cats in the high mountain shrublands of the Macaronesian islands (NW Africa, Atlantic Ocean). Acta Theriol (Warsz). 2010. 55: 241–250.",(Medina et al. 2010)
"Medina, F. M., Nogales, M. 2009. A review of the impacts of feral cats (Felis silvestris catus) in the Canary Islands: implications for the conservation of its endangered fauna. Biodiversity and Conservation 18(4): 829-846.",(Medina & Nogales 2009)
"Medina, F.M. and Nogales, M., 2009. A review on the impacts of feral cats (Felis silvestris catus) in the Canary Islands: implications for the conservation of its endangered fauna. Biodiversity and Conservation, 18, pp.829-846.",(Medina & Nogales 2009)
"Medway, D.G. 1972. A visit to Stephens and Maud Islands. Forest & Bird 183: 3-8.",(Medway 1972)
"Mella, V.S., Cooper, C.E. and Davies, S.J., 2010. Ventilatory frequency as a measure of the response of tammar wallabies (Macropus eugenii) to the odour of potential predators. Australian Journal of Zoology, 58(1), pp.16-23.",(Mella et al. 2010)
"Mella, V.S., Cooper, C.E. and Davies, S.J., 2016. Effects of historically familiar and novel predator odors on the physiology of an introduced prey. Current Zoology, 62(1), pp.53-59.",(Mella et al. 2016)
"Mellink, E. and Luévano, J. 2014. Mammals of Mexico.In: Ceballos, G. (ed.), John Hopkins University Press.",(Mellink et al. 2002)
Menkhorst PW 2003. Smoky Mouse Pseudomys fumeus. Victorian Department of Sustainability and Environment Action Statement no 196,(Menkhorst 2003)
"Menkhorst, P. and Broome, L., 2006. Background and Implementation Information for the Smoky Mouse Pseudomys Fumeus: National Recovery Plan. Department of Sustainability and Environment.",(Menkhorst & Broome 2006)
"Menkhorst, P., Broome, L., Heinze, D., Mansergh, I., Watson, K. and Hynes, E., 2013. National recovery plan for the Mountain Pygmy-possum Burramys parvus. Department of Environment and Primary Industries. Melbourne.",(Menkhorst et al. 2013)
"Menkhorst, P.W., 2009. Blandowski’s mammals: Clues to a lost world. Proceedings of the Royal Society of Victoria, 121(1), pp.61-89.",(Menkhorst 2009)
Menkhurst et al. 2008,Menkhurst et al. 2008
"Menon, V., Giljohann, K., Pascoe, J., Wintle, B., Robley, A., Town-Hopkinson, L. and Hradsky, B., 2025. Managing multiple threats: Evaluating the efficacy of broad-scale introduced predator management in improving native mammal resilience to fire. Biological Conservation, 301, p.110847.",(Menon et al. 2025)
"Merson, S.D., Dollar, L.J., Tan, C.K.W. and Macdonald, D.W., 2020. Effects of habitat alteration and disturbance by humans and exotic species on fosa Cryptoprocta ferox occupancy in Madagascar's deciduous forests. Oryx, 54(6), pp.828-836.",(Merson et al. 2020)
"Merson, S.D., Dollar, L.J., Tan, C.K.W. and W Macdonald, D., 2019. Activity patterns of sympatric living exotic and endemic carnivores (the fosa) in Western Madagascar's deciduous forests. Journal of Zoology, 307(3), pp.186-194.",(Merson et al. 2019)
"Middlemiss A 1995. Predation of lizards by feral house cats (Felis catus) and ferrets (Mustela furo) in the tussock grasslands of Otago. Unpublished MSc, University of Otago, Dunedin, New Zealand.",(Middlemiss 1995)
"Mifsud G 1999. Ecology of the Julia Creek dunnart Sminthopsis douglasi (Marsupialia: Dasyuridae). MSc thesis. La Trobe University, Melbourne.",(Mifsud 1999)
"Mifsud, G. and Woolley, P.A., 2012. Predation of the Julia Creek dunnart (Sminthopsis douglasi) and other native fauna by cats and foxes on Mitchell grass downs in Queensland. Australian Mammalogy, 34(2), pp.188-195.",(Mifsud & Woolley 2012)
"Militao, T., Dinis, H.A., Zango, L., Calabuig, P., Stefan, L.M. and Gonzalez-Solis, J., 2017. Population size, breeding biology and on-land threats of Cape Verde petrel (Pterodroma feae) in Fogo Island, Cape Verde. Plos one, 12(4), p.e0174803.",(Militao et al. 2017)
"Miller, B. and Kingston, T. (1980). Lord Howe Island Woodhen. Parks and Wildl. Aug. 1980:17-26.",(Miller & Kingston 1980)
"Mills, J.A. 2013. White-fronted tern. In: Miskelly, C.M. (ed.), New Zealand Birds Online.",(Mills 2013)
"Milner, R.N., Starrs, D., Hayes, G. and Evans, M.C., 2015. Distribution and habitat preference of the broad-toothed rat (Mastacomys fuscus) in the Australian Capital Territory, Australia. Australian Mammalogy, 37(2), pp.125-131.",(Milner et al. 2015)
"Ministerio del Medio Ambiente. 2014. Pristidactylus volcanensis (Lamborot & Díaz, 1987). Available at: http://www.mma.gob.cl/clasificacionespecies/ficha11proceso/FichasPAC_11RCE/Pristidactylus_volcanensis_11RCE_04_PAC.pdf. (Accessed: January 15, 2015).",(Ministerio del Medio Ambiente 2014)
"Miritis, V., Rendall, A.R., Doherty, T.S., Coetsee, A.L. and Ritchie, E.G., 2020. Living with the enemy: a threatened prey species coexisting with feral cats on a fox-free island. Wildlife Research, 47(8), pp.633-642.",(Miritis et al. 2020)
"Miskelly CM (1988) The Little Barrier Island snipe. Notornis, 35, 273-281.",(Miskelly 1988)
"Miskelly CM, Baker AJ (2009) Description of a new subspecies of Coenocorypha snipe from subantarctic Campbell Island, New Zealand. Notornis, 56, 113-123.",(Miskelly & Baker 2010)
"Miskelly, C.M. 2000. Historical records of snipe from Campbell Island, New Zealand. Notornis 47: 131-140.",(Miskelly 2000)
"Miskelly, C.M., 1987. The identity of the hakawai. Notornis, 34(2), pp.95-116.",(Miskelly 1987)
"Miskelly, C.M., Elliott, G.E., Parker, G.C., Rexer-Huber, K., Russ, R., Taylor, R.H., Tennyson, A.J.D., Walker, K.J. 2020. Birds of the Auckland Islands, New Zealand subantarctic. Notornis 67: 59-151.",(Miskelly et al. 2020)
"Mitchell AT 2001, An Assessment of Feral Predator Abundance at Howe Flat, Croajingolong National Park. East Gippsland Flora and Fauna Group Report No.10.",(Mitchell 2001)
"Mitchell, C., Ogura, C., Meadows, D.W., Kane, A., Strommer, L., Fretz, S., Leonard, D. and McClung, A., 2005. Hawaii’s comprehensive wildlife conservation strategy. Department of Land and Natural Resources, Honolulu, Hawaii.",(Mitchell et al. 2005)
"Mittermeier, J.C., Dutson, G., James, R.E., Davies, T.E., Tako, R. and Uy, J.A.C., 2018. The avifauna of Makira (San Cristobal), Solomon Islands. The Wilson Journal of Ornithology, 130(1), pp.235-255.",(Mittermeier et al. 2018)
"Moller H, Ratz H, Alterio N 1995 Protection of Yellow-eyed Penguins (Megadyptes antipodes) from predators. University of Otago Wildlife Report Number 65. University of Otago, Dunedin, New Zealand",(Moller et al. 1995)
"Moller, H. and Alterio, N., 1999. Home range and spatial organisation of stoats (Mustela erminea), ferrets (Mustela furo) and feral house cats (Felis catus) on coastal grasslands, Otago Peninsula, New Zealand: implications for yellow‐eyed penguin (Megadyptes antipodes) conservation. New Zealand Journal of Zoology, 26(3), pp.165-174.",(Moller & Alterio 1999)
"Moller, H.; Norbury, G.; King, C. M. 1996: Ecological and behavioural constraints to effective control of ferrets. In: Ferrets as vectors of tuberculosis and threats to conservation. Royal Society of New Zealand Miscellaneous Series 36: 54-68.",(Moller et al. 1996)
"Molloy, J. and Daniel, M.J., 1995. Bat (peka peka) recovery plan (Mystacina, Chalinolobus). Threatened Species Unit, Department of Conservation.",(Molloy & Daniel 1995)
"Molur, S., Srinivasulu, C., Srinivasulu, B., Walker, S., Nameer, P.O. and Ravikumar, L. 2005. Status of non-volant small mammals: Conservation Assessment and Management Plan (C.A.M.P) workshop report. Zoo Outreach Organisation / CBSG-South Asia., Comibatore, India.",(Molur et al. 2005)
"Monnet, C., Thibault, J.C. and Varney, A., 1993. Stability and changes during the twentieth century in the breeding landbirds of Tahiti (Polynesia). Bird Conservation International, 3(4), pp.261-280.",(Monnet et al. 1993)
"Moore, D., Kearney, M.R., Paltridge, R., McAlpin, S. and Stow, A., 2018. Feeling the pressure at home: Predator activity at the burrow entrance of an endangered arid‐zone skink. Austral Ecology, 43(1), pp.102-109.",(Moore et al. 2018)
"Moore, H.A., Gibson, L.A., Dziminski, M.A., Radford, I.J., Corey, B., Bettink, K., Carpenter, F.M., McPhail, R., Sonneman, T. and Greatwich, B., 2024. Where there’s smoke, there’s cats: long-unburnt habitat is crucial to mitigating the impacts of cats on the Ngarlgumirdi, greater bilby (Macrotis lagotis). Wildlife Research, 51(5).",(Moore et al. 2024)
"Moore, H.A., Valentine, L.E., Dunlop, J.A. and Nimmo, D.G., 2020. The effect of camera orientation on the detectability of wildlife: a case study from north‐western Australia. Remote Sensing in Ecology and Conservation, 6(4), pp.546-556.",(Moore et al. 2020)
"Moore, P.J. and Reid, C., 2009. Effectiveness of management on the breeding success of Chatham Island oystercatchers (Haematopus chathamensis). New Zealand Journal of Zoology, 36(4), pp.431-446.",(Moore & Reid 2009)
"Moorhouse, R. J. and Powlesland, R. G. (1991) Aspects of the ecology of Kakapo Strigops habroptilus liberated on Little Barrier Island (Hauturu), New Zealand. Biol. Conserv. 56: 349-365.",(Moorhouse & Powlesland 1991)
"Moreno, K., Wroe, S., Clausen, P., McHenry, C., D’Amore, D.C., Rayfield, E.J. and Cunningham, E., 2008. Cranial performance in the Komodo dragon (Varanus komodoensis) as revealed by high‐resolution 3‐D finite element analysis. Journal of Anatomy, 212(6), pp.736-746.",(Moreno et al. 2008)
"Morgan GS (1989) Geocapromys thoracatus. Mammalian Species, 341, 1-5.",(Morgan 1989)
"Mori, E., Menchetti, M., Camporesi, A., Cavigioli, L., Fatis, T., Girardello, M. 2019. License to Kill? Domestic Cats Affect a Wide Range of Native Fauna in a Highly Biodiverse Mediterranean Country. Frontiers in Ecology and Evolution 7: 447.",(Mori et al. 2019)
"Moro, D., Morris, K., van Leeuwen, S. and Davie, H., 2020. A framework of integrated research for managing introduced predators in the Pilbara bioregion, Western Australia. Australian Mammalogy, 43(3), pp.265-276.",(Moro et al. 2020)
"Morris, K., Johnson, B., Orell, P., Gaikhorst, G., Wayne, A., and Moro, D. (2003). Recovery of the threatened chuditch (Dasyurus geoffroii): a case study. In ‘Predators With Pouches: the Biology of Carnivorous Marsupials’. (Eds M. Jones, C. Dickman and M. Archer.) pp. 435–451. (CSIRO Publishing: Melbourne.)",(Morris et al. 2003)
"Moseby K, Peacock D, Read J. 2015. Catastrophic cat predation: a call for predator profiling in wildlife protection programs. Biological Conservation 191:331-340.",(Moseby et al. 2015)
"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",(Moseby et al. 2021a)
"Moseby, K., Van der Weyde, L., Letnic, M., Blumstein, D.T., West, R. and Bannister, H., 2023. Addressing prey naivety in native mammals by accelerating selection for antipredator traits. Ecological Applications, 33(2), p.e2780.",(Moseby et al. 2023)
"Moseby, K.E., Blumstein, D.T., Letnic, M., Trenwith, B. and Van der Weyde, L.K., 2024. In situ predator exposure creates some persistent anti-predator behaviours: insights from a common environment experiment. Behavioral Ecology and Sociobiology, 78(8), p.93.",(Moseby et al. 2024)
"Moseby, K.E., Cameron, A. and Crisp, H.A., 2012. Can predator avoidance training improve reintroduction outcomes for the greater bilby in arid Australia?. Animal Behaviour, 83(4), pp.1011-1021.",(Moseby et al. 2012)
"Moseby, K.E., Hill, B.M. and Read, J.L., 2009. Arid recovery–a comparison of reptile and small mammal populations inside and outside a large rabbit, cat and fox‐proof exclosure in arid South Australia. Austral Ecology, 34(2), pp.156-169.",(Moseby et al. 2009)
"Moseby, K.E., Hodgens, P., Peacock, D., Mooney, P., Brandle, R., Lynch, C., West, R., Young, C.M., Bannister, H., Copley, P. and Jensen, M.A., 2021. Intensive monitoring, the key to identifying cat predation as a major threat to native carnivore (Dasyurus geoffroii) reintroduction. Biodiversity and Conservation, 30, pp.1547-1571.",(Moseby et al. 2021b)
"Moseby, K.E., Jensen, M.A. and Tatler, J., 2022. Dietary flexibility and high predator efficacy facilitate coexistence in a novel predator interaction. Journal of Mammalogy, 103(1), pp.124-135.",(Moseby et al. 2022)
"Moseby, K.E., Letnic, M., Blumstein, D.T. and West, R., 2018. Designer prey: can controlled predation accelerate selection for anti-predator traits in naïve populations?. Biological Conservation, 217, pp.213-221.",(Moseby et al. 2018)
"Moseby, K.E., Letnic, M., Blumstein, D.T. and West, R., 2019. Understanding predator densities for successful co‐existence of alien predators and threatened prey. Austral Ecology, 44(3), pp.409-419.",(Moseby et al. 2019)
"Moseby, K.E., McGregor, H., Hill, B.M. and Read, J.L., 2020. Exploring the internal and external wildlife gradients created by conservation fences. Conservation Biology, 34(1), pp.220-231.",(Moseby et al. 2020)
"Moseby, K.E., Peacock, D.E. and Read, J.L., 2015. Catastrophic cat predation: a call for predator profiling in wildlife protection programs. Biological Conservation, 191, pp.331-340.",(Moseby et al. 2015)
"Moseby, K.E., Read, J.L., Paton, D.C., Copley, P., Hill, B.M. and Crisp, H.A., 2011. Predation determines the outcome of 10 reintroduction attempts in arid South Australia. Biological Conservation, 144(12), pp.2863-2872.",(Moseby et al. 2011)
"Mosher, S. M. Submitted. Ecology of the endangered Nightingale Reed-Warbler (Acrocephalus luscinia) on Saipan, Micronesia. MSc Thesis. University of Idaho.",(Mosher 2006)
"Moyses, J., Hradsky, B., Tuft, K., Moseby, K., Golding, N. and Wintle, B., 2020. Factors influencing the residency of bettongs using one‐way gates to exit a fenced reserve. Austral Ecology, 45(7), pp.858-871.",(Moyses et al. 2020)
"Munday, B.L. and Mason, R.W., 1980. Sarcocystis and related organisms in Australian wildlife: III. Sarcocystis murinotechis sp. n. life cycle in rats (Rattus, Pseudomys and Mastocomys spp.) and tiger snakes (Notechis ater). Journal of Wildlife Diseases, 16(1), pp.83-87.",(Munday & Mason 1980)
"Munday, B.L., Mason, R.W., Hartley, W.J., Presidente, P.J.A. and Obendorf, D., 1978. Sarcocystis and related organisms in Australian wildlife: I. Survey findings in mammals. Journal of Wildlife Diseases, 14(4), pp.417-433.",(Munday et al. 1978)
"Murphy, A., Farris, Z., Karpanty, S., Kelly, M., Miles, K., Ratelolahy, F., Rahariniaina, R. and Golden, C. 2017. Using camera traps to examine distribution and occupancy trends of ground-dwelling rainforest birds in north-eastern Madagascar. 10.1017/S0959270917000107. 28(4): 1-14.",(Murphy et al. 2018)
"Murphy, B.P., Woolley, L.A., Geyle, H.M., Legge, S.M., Palmer, R., Dickman, C.R., Augusteyn, J., Brown, S.C., Comer, S., Doherty, T.S. and Eager, C., 2019. Introduced cats (Felis catus) eating a continental fauna: the number of mammals killed in Australia. Biological Conservation, 237, pp.28-40.",(Murphy et al. 2019)
"Murphy, S.A., McGregor, H., Leseberg, N.P., Watson, J. and Kutt, A.S., 2022. Feral cat GPS tracking and simulation models to improve the conservation management of night parrots. Wildlife Research, 50(5), pp.325-334.",(Murphy et al. 2022)
"Márquez B., C.M., Munoz H., E.A., Gentile, G., Tapia, W., Zabala, F.J., Naranjo L., S.A. and Llerena, A.J. 2010. Estado poblacional de las iguanas terrestres (Conolophus subcristatus, C. pallidus y C. marthae: Squamata, Iguanidae), Islas Galápagos. Boletín Técnico 9, Serie Zoológica 6: 19–37.",(Márquez B et al. 2010)
N Dexter unpublished,N Dexter unpublished
"N. Carlile, D. Priddel, F. Zino, C. Natividad, D. B. Wingate, A review of four successful recovery programmes for threatened sub-tropical petrels. Marine Ornithology. 31, 185–192 (2003).",(Carlile et al. 2003)
N. Cole pers. obs.,N. Cole pers. obs.
"N. Marlow, P. de Tores and K. Morris et al., pers. comm.","N. Marlow, P. de Tores and K. Morris et al., pers. comm."
"N. McCulloch, Status, habitat and conservation of the St Helena Wirebird Charadrius sanctaehelenae. Bird Conservation International. 1, 361–392 (2010).",(McCulloch 1991)
"N. P. Ashmole, M. J. Ashmole, K. Simmons, in Seabirds on islands threats, case studies, and action plans, D. N. Nettleship, J. Burger, M. Gochfield, Eds. (BirdLife Conservation Series, Cambridge, 1994), pp. 94–121.",(Ashmole et al. 1994)
N. Sallaberry pers comm. 2015,N. Sallaberry pers comm. 2015
"NEWTON, I.P. & FUGLER, S.R. 1989. Notes on the Winter-Breeding Greatwinged Petrel (Pterodroma macroptera) and Grey Petrel (Procellaria cinerea) at Marion Island. Cormorant 17(1–2):27–34.",(Newton & Fugler 1989)
NOTHING,NOTHING
"NSW Department of Environment and Climate Change 2005, Recovery Plan for the Hastings River Mouse (Pseudomys oralis), Department of Environment and Climate Change (NSW), Hurstville.",(NSW Department of Environment and Climate Change 2005)
